,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
453,广思亭寺祖师公庙,0%,0,0,0%,,--,福建省漳州市云霄县火田镇圆峰村,,具体收费情况以现场公示为主,
454,鳌武庙,0%,0,0,0%,,--,漳州市云霄县,,具体收费情况以现场公示为主,
455,叶太恭人祠,0%,0,0,0%,,--,福建省漳州市漳浦县绥安镇府前街桥头公园(漳浦县教育局东),,具体收费情况以现场公示为主,
456,圆通寺,0%,0,0,0%,,--,福建省漳州市平和县大溪镇壶嗣村,,具体收费情况以现场公示为主,
457,西环城市片森林公园,0%,0,0,0%,,--,福建省漳州市云霄县观音亭(盘陀岭隧道南70米),,具体收费情况以现场公示为主,
458,员工休闲公园,0%,0,0,0%,,--,石码镇九龙新城严溪头,,具体收费情况以现场公示为主,
459,礼拜堂,0%,0,0,0%,,--,南诏镇中山西路510号,,具体收费情况以现场公示为主,
460,福兴寺,0%,0,0,0%,,--,漳州市诏安县,,具体收费情况以现场公示为主,
461,必应宫,0%,0,0,0%,,--,福建省漳州市东山县西湖路,,具体收费情况以现场公示为主,
462,平和暴动遗址,0%,0,2,0%,,4.0,铜陵镇公园街234号东山风动石景区内,,具体收费情况以现场公示为主,
463,南门周爷公,0%,0,4,0%,,4.0,铜陵镇挑水街,,具体收费情况以现场公示为主,
464,晏海楼,0%,0,0,0%,,--,陈城镇湖塘村,,具体收费情况以现场公示为主,
465,林氏祠堂,0%,0,0,0%,,--,梅岭镇,,具体收费情况以现场公示为主,
466,知青历史博物馆,0%,0,0,0%,,--,福建省漳州市漳浦县深土镇深土村北门,,具体收费情况以现场公示为主,
467,觉皇寺,0%,0,0,0%,,--,福建省漳州市龙海市S208(紫葳路),,具体收费情况以现场公示为主,
468,田螺坑景区,0%,0,0,0%,,--,林墩工业区,,具体收费情况以现场公示为主,
469,祖师公庙,0%,0,0,0%,,--,丹霞路牛庄创业园小木屋33号店面,,具体收费情况以现场公示为主,
470,石恩宫,0%,0,2,0%,,5.0,胜利东路24号君临天下D8幢1号店,,,
471,漳州北门基督教堂,0%,0,0,0%,,--,南山小学附近,,,
472,棒棒堂儿童乐园,0%,0,0,0%,,--,福建省漳州市东山县岛金銮湾,,具体收费情况以现场公示为主,
473,玄天上帝庙,0%,0,0,0%,,--,福建省华安县龙乾大厦附近,,具体收费情况以现场公示为主,
474,眷村历史馆,0%,0,0,0%,,--,靖城镇,全年 全天开放,具体收费情况以现场公示为主,
475,闻溪公园,0%,0,0,0%,,--,南滨大道300号,全年 08:00-22:30,具体收费情况以现场公示为主,
476,古蓬庵,0%,0,0,0%,,--,胜利西路154号,,,
477,友唱,0%,0,0,0%,,--,胜利西路101-5-6号附近,,,
478,黄金沙滩,0%,0,0,0%,,--,胜利西路147-4号附近,,,
479,凤塔庙,0%,0,0,0%,,--,胜利西路154号附近,,,
480,圆明庵,0%,0,0,0%,,--,漳华路103号,,,
481,阳霞天后宫,0%,0,0,0%,,,,,,
482,沈柔坚故居,0%,0,0,0%,,--,胜利西路152-6号附近,,,
483,土楼南靖景区塔下景点,0%,0,0,0%,,--,漳华路与学府路交叉处漳州一职校旁边,,,
484,文昌公园,0%,0,0,0%,,,,,,
485,仙字潭摩涯,0%,0,0,0%,,--,胜利西路145号附近,,,
486,友唱,0%,0,0,0%,,0.0,蔡坂村琵琶岩,全年 09:00-21:00,具体收费情况以现场公示为主,
487,友唱,0%,0,0,0%,,--,胜利西路146-9,,,
488,岱仙岩,0%,0,0,0%,,--,胜利西路99-2号,,,
489,长桥基督教堂,0%,0,0,0%,,,,,,
490,凤梧佛祖庵,0%,0,0,0%,,,,,,
491,朱熹公园,0%,0,0,0%,,--,芝山镇漳华路闽南地质对面三号楼,,,
492,九龙岭分镇,0%,0,0,0%,,,,,,
493,福慧禅寺,0%,0,0,0%,,--,大学路与西洋坪路交叉口南100米,,,
494,宝山灵风寺,0%,0,0,0%,,--,西洋坪路,,,
495,大夫第教堂,0%,0,0,0%,,--,胜利西路闽南日报社公交站,,,
496,蔡新故居,0%,0,0,0%,,--,大学路35号附近,,,
497,青峰寺,0%,0,0,0%,,--,胜利西路147西洋坪安置商厦6楼,,,
498,白塔岩,0%,0,0,0%,,--,芝山路东50米,,,
499,西湖宫,0%,0,0,0%,,,,,,
500,桥头公园,0%,0,0,0%,,--,通北街道芝山路大同村综合大楼南,,,
501,延陵公园,0%,0,0,0%,,--,南坑街道漳华中路489号,,,
502,观音亭,0%,0,0,0%,,,,,,
503,土地公庙,0%,0,0,0%,,--,胜利西路,,,
504,金莲禅寺,0%,0,0,0%,,--,西洋学生公寓A1-4号店面,周一至周日 10:30-22:00,,
505,李伯瑶文化博物馆,0%,0,0,0%,,,,,,
506,廟山公园,0%,0,0,0%,,--,通北街道漳州市公路局直属分局,,,
507,古船陈列室,0%,0,0,0%,,--,通北街道漳州市公路局直属分局,,,
508,真君宫,0%,0,0,0%,,--,胜利西路158号,,,
509,四都教堂,0%,0,0,0%,,--,芝山公园,周一至周日 08:30-17:30,,
510,孝子祠,0%,0,0,0%,,--,胜利西路158号,,,
511,田厝农民公园,0%,0,0,0%,,--,山城镇562县道升驰马术俱乐部,,,
512,魏氏家庙,0%,0,0,0%,,,,,,
513,龙海市到浮宫,0%,0,0,0%,,--,胜利西路147西洋坪安置商厦9楼,,,
514,官洋尾沙场,0%,0,0,0%,,--,芝山镇胜利西路147号安置商厦8层,,,
515,明寺洞,0%,0,0,0%,,--,炮仔街26,,,
516,叨夫子,0%,0,0,0%,,--,南湖村附近,,,
517,清河休闲美食广场,0%,0,0,0%,,--,漳华路119号,,,
518,金紫荆广场,0%,0,0,0%,,--,佳苑19幢101-102,,,
519,东山鸿文艺术馆,0%,0,0,0%,,,,,,
520,铭华玉雕展示厅,0%,0,0,0%,,--,胜利西路109-111号附近,,,
521,东南海度假村,0%,0,0,0%,,--,胜利西路146-9店面,,,
522,厦大漳州校区-图书馆,0%,0,0,0%,,--,东铺头街道胜利西路103号,,,
523,西城大酒店停车场,0%,0,0,0%,,--,漳华路105号,,,
524,停车场(钟芬楼西北),0%,0,0,0%,,,,,,
525,停车场(出入口),0%,0,0,0%,,,,,,
526,西城大厦停车场,0%,0,0,0%,,,,,,
527,陈胖水行,0%,0,0,0%,,--,胜利西路156号附近,,,
528,悠乐社区停车场(入口),0%,0,0,0%,,,,,,
529,停车场(漳州市铁路建设办公室西北),0%,0,1,0%,,4.0,通北街道大同路大同新巷3号,全年 09:00-19:00,,
530,西城大厦停车场(出入口),0%,0,0,0%,,--,金山路与龙池商业街交叉口西南200米,,,
531,中经汇通,0%,0,0,0%,,--,通北街道腾飞路396号延安广场雅苑10幢D03号(幼儿园旁),,,
532,停车场,0%,0,0,0%,,--,工农路附近,,,
533,西洋坪安置商厦停车场,0%,0,0,0%,,--,康华路与文峰路交叉口东北200米,,具体收费情况以现场公示为主,
534,琵琶岩骑士休闲山庄,0%,0,0,0%,,--,霞寨镇兴霞大道121号,,,
535,龙江房产,0%,0,2,0%,,4.6,元光南路2-1号,,,
536,鑫铮汽车贸易有限公司,0%,0,0,0%,,--,凤高路12号,,,
537,唯购美妆,0%,0,0,0%,,--,胜利西路101-4号附近,,,
538,日韩化妆品(台湾专卖店),0%,0,0,0%,,--,杜浔镇正港饭店东侧,,,
539,小秃驴洗衣房,0%,0,0,0%,,--,龙津园文化街江华路2号,,,
540,真优美烫染造型,0%,0,0,0%,,--,胜利西路与西洋坪路交叉口西50米,,,
541,台湾专卖店,0%,0,0,0%,,--,马鞍山路7号,,,
542,sk车灯升级,0%,0,0,0%,,--,南环路北50米,,,
543,千方药房有限公司,0%,0,0,0%,,--,北京路江景花园15幢8号,,,
544,泯漳律师事务所,0%,0,0,0%,,--,建设路191号店,,,
545,中国邮政海西书报亭,0%,0,0,0%,,--,佳苑女人街2街19号,,,
546,品木律师事务所,0%,0,0,0%,,--,胜利西路79号香江大厦17楼402,周一至周日 08:00-22:00,,
547,中国福利彩票,0%,0,0,0%,,,,,,
548,学车之星汽车模拟总代理(漳州总代理),0%,0,5,0%,,4.7,大溪镇庄上村,全年 全天开放,具体收费情况以现场公示为主,
549,通业汽配,0%,0,0,0%,,,,,,
550,鑫源华泽,0%,0,0,0%,,--,平和林语堂文化博览园内,,,
551,四季园着售楼部,0%,0,0,0%,,--,环城东路73号,,具体收费情况以现场公示为主,
552,麦兜,0%,0,0,0%,,,,,,
553,来速洁,0%,0,0,0%,,--,207省道附近,,,
554,单一美甲减肥理疗,0%,0,0,0%,,,,,,
555,超人气美发沙龙,0%,0,0,0%,,--,保生路,,,
556,二手轮胎,0%,0,0,0%,,--,瑞峰路10-3(嘉鑫大厦),周一至周日 08:00-18:30,,
557,韩泰轮胎(小叶轮胎店),0%,0,0,0%,,--,西洋坪路通鑫学生公寓A3幢3号店面,周一至周日 10:00-23:00,,
558,天翼营业厅(芗城分公司第一分局),0%,0,0,0%,,,,,,
559,翰林印刷公司,0%,0,0,0%,,0.0,芗城区胜利西路118号,,具体收费情况以现场公示为主,
560,拓展真人cs彩弹(大学城店),0%,0,0,0%,,--,瑞京路梅舍巷公安宿舍区附近,,,
561,西城芗城营业厅,0%,0,0,0%,,--,青年路152附近,,,
562,升驰马术俱乐部,0%,0,0,0%,,--,大通北路55-14旧芝山公园入口10米超市对面(七天连锁酒店旁边),,,
563,tina东方舞,0%,0,0,0%,,--,江滨路137号,,,
564,扬都律师事务所,0%,0,0,0%,,,,,,
565,国富投资有限公司,0%,0,0,0%,,--,金山镇,,,
566,侨芗剧场,0%,0,0,0%,,,,,,
567,天湖雪中心剧场,0%,0,0,0%,,--,胜利西路147-1号,,,
568,阿财车行,0%,0,0,0%,,,,,,
569,胜利西路赛维干洗店,0%,0,0,0%,,--,西洋坪路2号附近,,,
570,画否创意美术馆,0%,0,0,0%,,,,,,
571,漳州卫生职业学院停车场,0%,0,0,0%,,--,胜利西路146号,,,
572,车驿站快捷洗车,0%,0,0,0%,,--,胜利西路142-1号,周一至周日 09:00-17:00,,
573,千居房产,0%,0,0,0%,,--,大学西路,,,
574,淘汽云修,0%,0,0,0%,,,,,,
575,华北汽车修理场,0%,0,0,0%,,--,胜利西路97之4-6号,周一至周日 09:00-17:00,,
576,红星·美凯龙全球家居生活广场停车场,0%,0,0,0%,,--,胜利西路91之4-6号,,,
577,佳龙汽车美容,0%,0,0,0%,,--,胜利西路永辉大厦8号店面(军分区站台正对面),,,
578,西洋移动营业厅,0%,0,0,0%,,--,瑞京路佳苑花园19幢101-102室,,,
579,惠民画廊(红星美凯龙),0%,0,0,0%,,--,胜利西路,,,
580,鑫思远房产,0%,0,0,0%,,--,瑞京路,,,
581,通鑫文印店,0%,0,0,0%,,--,胜利西路,,,
582,漳州市图书馆,0%,0,7,0%,,4.5,始兴北路,,,
583,龙泰画廊,0%,0,0,0%,,,,,,
584,新颖画廊,0%,0,0,0%,,--,瑞京路,,,
585,逸风画廊,0%,0,0,0%,,--,"胜利西路,漳州粮食局旁",,,
586,集雅框艺画廊,0%,0,0,0%,,--,胜利西路,,,
587,有间画廊,0%,0,0,0%,,--,"胜利西路与西洋坪路交汇处西南方向,加油站旁",,,
588,九龙盆景园,0%,0,0,0%,,--,新华东路新华都楼上,,,
589,云轩画廊,0%,0,0,0%,,--,胜利西路156-1,,,
590,金源新村,0%,0,0,0%,,--,胜利西路,,,
591,范欣车行,0%,0,0,0%,,--,瑞京路,,,
592,景盛画廊,0%,0,0,0%,,--,胜利西路101-9店面(闽南日报正对面),周一至周日 08:30-22:00,,
593,丹诏名家画廊,0%,0,0,0%,,,,,,
594,香江大厦,0%,0,1,0%,,4.8,324国道,,,
595,马鞍山社区,0%,0,0,0%,,,,,,
596,博艺苑画廊,0%,0,0,0%,,--,瑞京路,,,
597,畅鑫阁画廊,0%,0,0,0%,,,,,,
598,大树头画廊,0%,0,0,0%,,,,,,
599,咪萌轻奢私订工作室,0%,0,0,0%,,--,"胜利西路与西洋坪路交汇处,华阳体育馆对面",,,
600,莹轩画廊,0%,0,0,0%,,--,胜利西路99号综合楼第一层西,周一至周日 09:00-18:30,,
601,让爱长久婚姻咨询服务中心(漳州店),0%,0,0,0%,,,,,,
602,漳大 宝岛眼镜,0%,0,0,0%,,,,,,
603,庄上土楼,0%,0,0,0%,,,,,,
604,腾宏汽车一站式服务,0%,0,0,0%,,--,大学城学生公寓内街(吉悦工坊对面),周一至周日 10:00-24:00,,
605,京华烟云图书馆,0%,0,2,0%,,3.5,漳州市东山县铜陵镇公园街234号东山风动石景区内,,,
606,漳浦县图书馆,0%,0,0,0%,,--,胜利西路115号西洋坪村,,,
607,快8汽修,0%,0,0,0%,,,,,,
608,桥头帝君剧场,0%,0,0,0%,,,,,,
609,俊瑞摄影,0%,0,0,0%,,--,大学路,,,
610,协天商贸有限公司,0%,0,0,0%,,--,胜利西路103号(闽南日报对面),,,
611,点睛画艺(龙池店),0%,0,0,0%,,,,,,
612,知乐桶装水瑞峰门市部,0%,0,0,0%,,--,胜利西路140-13号2层,,,
613,曾丽玲化妆品店,0%,0,0,0%,,--,胜利西路150号,,,
614,道戈家居专业维修,0%,0,0,0%,,,,,,
615,毛主席率领红军攻克漳州纪念馆,0%,0,0,0%,,--,胜利西路99-3号综合楼第一层西,周一至周日 09:00-18:30,,
616,中国体育彩票,0%,0,0,0%,,,,,,
617,彩虹花中英文绘本图书馆,0%,0,0,0%,,--,西洋坪路2号,,,
618,名饰造型,0%,0,0,0%,,,,,,
619,华之娜化妆品,0%,0,0,0%,,,,,,
620,艺成画廊,0%,0,0,0%,,--,西洋坪路,,,
621,中国工商银行24小时自助银行,0%,0,0,0%,,,,,,
622,千家宫,0%,0,0,0%,,--,胜利西路77-5号,,,
623,中国信合ATM,0%,0,0,0%,,,,,,
624,芗城西洋坪村卫生所,0%,0,0,0%,,,,,,
625,中国信合(西鑫分社),0%,0,0,0%,,,,,,
626,万事通信息与技术服务中心,0%,0,0,0%,,,,,,
627,中国建设银行ATM,0%,0,0,0%,,,,,,
628,仁和诊所,0%,0,0,0%,,--,胜利西路93号,,,
629,中国信合上墩信用社,0%,0,0,0%,,--,胜利西路101号5-6,,,
630,中国工商银行(漳州城西支行),0%,0,0,0%,,--,绥安镇万新广场二楼(大丰收旁),,,
631,漳州市芗城杨添兴诊所,0%,0,0,0%,,,,,,
632,停车场,0%,0,0,0%,,--,延安北路31号花园大厦,,,
633,中国建设银行(石龟头分理处),0%,0,0,0%,,,,,,
634,漳州市芗城康园诊所,0%,0,1,0%,,3.0,新城北路,,,
635,恒达汽车用品,0%,0,0,0%,,--,平湖路19号,,具体收费情况以现场公示为主,
636,东南艺术馆,0%,0,0,0%,,,,,,
637,建大轮胎,0%,0,1,0%,,3.5,上街漳州市动物园,,具体收费情况以现场公示为主,
638,兄弟车行,0%,0,0,0%,,4.5,漳州市芗城区新华西路182号中山公园内,,,
639,拓普汽车生活馆,0%,0,0,0%,,,,,,
640,合胜轮胎店,0%,0,0,0%,,--,山城镇兰陵路,,具体收费情况以现场公示为主,
641,非物质文化遗产展示馆,0%,0,0,0%,,--,324国道,,,
642,竹乐山泉送水点,0%,0,0,0%,,0.0,541县道,,,
643,峰云汽车美容,0%,0,0,0%,,,,,,
644,粮食新村,0%,0,0,0%,,,,,,
645,万明轮胎店,0%,0,0,0%,,--,延安北路49号吉龙大厦4层,,,
646,瑞得园,0%,0,0,0%,,--,胜利西路87-4号,,,
647,多米造型(新华都店),0%,0,0,0%,,--,胜利西路138号,,,
648,省热带作物研究所宿舍,0%,0,0,0%,,--,马鞍山路4号,,,
649,莱型格美容美发,0%,0,0,0%,,--,胜利西路152号,,,
650,江南干洗店,0%,0,0,0%,,,,,,
651,白鹭园诊所,0%,0,0,0%,,--,九龙国际商贸中心,,,
652,晨林文印,0%,0,0,0%,,--,文昌东路70号,,,
653,大地车行,,,,,,,,,,
654,东南乐都花博园,,,,,,,,,,
655,佳缘数码快印,,,,,,,,,,
656,永缘车行,,,,,,,,,,
657,单一美甲化妆品,,,,,,,,,,
658,漳州市九星印刷有限公司,,,,,,,,,,
659,教苑小区,,,,,,,,,,
660,芗教新村,,,,,,,,,,
661,驰加汽车服务中心(胜利西路店),,,,,,,,,,
662,橄榄绿洲小区,,,,,,,,,,
663,尚都,,,,,,,,,,
664,流型密码,,,,,,,,,,
665,形象时尚会所(形象沙龙),,,,,,,,,,
666,黄道周纪念馆,,,,,,,,,,
667,中石化森美(西洋坪加油站),,,,,,,,,,
668,中国移动通信(益帆指定专营店),,,,,,,,,,
669,广达摩托维修,,,,,,,,,,
670,利达汽车生活馆,,,,,,,,,,
671,天盛汽车修理厂,,,,,,,,,,
672,涵盛汽车修理厂,,,,,,,,,,
673,新亿摩托车配件经营部,,,,,,,,,,
674,福祥房屋中介,,,,,,,,,,
675,放心摩托车保养中心,,,,,,,,,,
676,兴利汽车修理场,,,,,,,,,,
677,普林斯贸易有限公司,,,,,,,,,,
678,西洋汽车服务中心,,,,,,,,,,
679,永腾汽车生活馆,,,,,,,,,,
680,中国移动通信(爽妹儿特约代办店),,,,,,,,,,
681,金峰社区卫生服务中心,,,,,,,,,,
682,中国铁通(公话代办点),,,,,,,,,,
683,拓普汽车全程服务中心,,,,,,,,,,
684,瑞安摩托维修,,,,,,,,,,
685,兄弟车业,,,,,,,,,,
686,吴氏汽车修理厂,,,,,,,,,,
687,中国移动通信,,,,,,,,,,
688,农商银行(西鑫支行),,,,,,,,,,
689,龟博士汽车装潢美容中心,,,,,,,,,,
690,广汽本田(漳州康达店),,,,,,,,,,
691,玛吉斯轮胎,,,,,,,,,,
692,林安啦汽车租赁,,,,,,,,,,
693,威固汽车顶级隔热膜(漳州专营店),,,,,,,,,,
694,幻像3D油画互动展,,,,,,,,,,
695,盛捷汽车会所,,,,,,,,,,
696,龙江美术馆,,,,,,,,,,
697,中国联通,,,,,,,,,,
698,东山画院,,,,,,,,,,
699,霞涌农家图书室,,,,,,,,,,
700,竹类植物园,,,,,,,,,,
701,赛维干洗(金峰路店),,,,,,,,,,
702,漳州市动物园,,,,,,,,,,
703,漳州画院,,,,,,,,,,
704,丽芬数码摄影,,,,,,,,,,
705,福建省南靖县博物馆,,,,,,,,,,
706,蓝精灵画坊,,,,,,,,,,
707,岛滨海沙生植物园,,,,,,,,,,
708,彼岸花,,,,,,,,,,
709,剪烫吧,,,,,,,,,,
710,凡响数码照相文印,,,,,,,,,,
711,漳州市工艺美术馆,,,,,,,,,,
712,顺捷航空票务中心,,,,,,,,,,
713,小林理发室,,,,,,,,,,
714,微特利工贸,,,,,,,,,,
715,闽南日报广告部,,,,,,,,,,
716,广告刻字玻璃镜艺相框制作,,,,,,,,,,
717,玉雕刻艺术馆,,,,,,,,,,
718,艺林书画,,,,,,,,,,
719,寡妇村展览馆,,,,,,,,,,
