,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
456,桑莲古迹,0%,0,0,0%,,0.0,清蒙开发区迎宾大道三二四国道旁,,具体收费情况以现场公示为主,
457,麒麟壁,0%,0,0,0%,,0.0,南侨街附近,,具体收费情况以现场公示为主,
458,魁星阁,0%,0,9,0%,,4.8,泉州市惠安县台商区201省道,全天开放，月亮湾沙滩内的游玩项目开放时间不一，以现场具体开放时间为准。,,
459,南台寺,0%,0,0,0%,,--,群山路西100米,,,
460,碧霄岩三世佛,0%,0,0,0%,,--,福建省泉州市晋江市永和镇英墩前堡保生大帝宫,,具体收费情况以现场公示为主,
461,弘一法师舍利塔,0%,0,0,0%,,0.0,西林村305县道,,,
462,得月楼,0%,0,0,0%,,0.0,福建省泉州市永春县八二三中路24号,,,
463,欧厝海滩,0%,0,0,0%,,--,泉州市安溪县206省道附近,,,
464,八二三战役纪念碑,0%,0,0,0%,,--,社坝村,,具体收费情况以现场公示为主,
465,邱良功墓园,0%,0,0,0%,,,,,,
466,陈清吉洋楼,0%,0,0,0%,,--,中央景观道西150米,,具体收费情况以现场公示为主,
467,烈屿,0%,0,4,0%,,4.6,泉州市晋江市状元街11号,,具体收费情况以现场公示为主,
468,三角堡,0%,0,0,0%,,0.0,太平街附近,,,
469,双鲤湖湿地自然中心,0%,0,0,0%,,0.0,泉州市晋江市江滨路与瑞光路交叉路口东南侧,,具体收费情况以现场公示为主,
470,延平郡王祠,0%,0,2,0%,,5.0,福建省泉州市晋江市南山路228号,,具体收费情况以现场公示为主,
471,古宁头牌坊,0%,0,0,0%,,--,温陵北路,,,
472,文庙广场,0%,0,11,0%,,4.5,泉州市丰泽区田安北路与丰泽街交汇处西北角,,,
473,老子塑像,0%,0,0,0%,,0.0,惠安县螺城镇西苑路13号团部后门,,具体收费情况以现场公示为主,
474,金门石雕公园,0%,0,0,0%,,--,福建省泉州市安溪县湖头镇新华都购物广场东北150米,,具体收费情况以现场公示为主,
475,净峰惠女湾古森林遗址,0%,0,0,0%,,--,福建省泉州市丰泽区东海大街398号泉州师范学院内,,具体收费情况以现场公示为主,
476,榕园,0%,0,0,0%,,4.0,安海镇成功中路东大街,,,
477,镇国塔,0%,0,0,0%,,0.0,驿顶街惠古地(南门)附近,,,
478,三王祠,0%,0,0,0%,,--,东霞路附近,,,
479,泉州海丝艺术公园,0%,0,0,0%,,--,宝珊花园内,,具体收费情况以现场公示为主,
480,洪恩岩,0%,0,0,0%,,0.0,惠崇公路与308县道交叉口东北50米,,具体收费情况以现场公示为主,
481,苏家大宅,0%,0,0,0%,,5.0,福建省泉州市惠安县净峰惠女湾旅游景区东段,,具体收费情况以现场公示为主,
482,南安市圆通观音寺,0%,0,0,0%,,--,福建省晋江市安海镇鸿江中路上悦城3层,,,
483,茶寿公园,0%,0,0,0%,,--,聚宝街109,,,
484,泉州黎明高中遗址,0%,0,0,0%,,--,泉州市丰泽区湖斗街29号,,,
485,圣井湖莲宫,0%,0,0,0%,,--,刺桐北路与田淮街交叉口西150米,,具体收费情况以现场公示为主,
486,广峰寺,0%,0,0,0%,,0.0,池店镇,,具体收费情况以现场公示为主,
487,笔架山,0%,0,0,0%,,--,福建省泉州市惠安县净峰惠女湾景赤土尾段区,,具体收费情况以现场公示为主,
488,旗山国家森林公园,0%,0,0,0%,,--,福建省泉州市鲤城区,,具体收费情况以现场公示为主,
489,晋江河口湿地,0%,0,3,0%,,5.0,福建省泉州市惠安县,,具体收费情况以现场公示为主,
490,德化窑遗址,0%,0,0,0%,,0.0,建设北街124号附近,,,
491,莆田塔斗山与望海塔,0%,0,0,0%,,--,324国道附近,,,
492,洛江大润发儿童乐园,0%,0,0,0%,,0.0,小商品街2-271号附近,,,
493,温迪儿童主题乐园,0%,0,0,0%,,--,泉州市丰泽区领show天地10号楼201,,具体收费情况以现场公示为主,
494,警民广场,0%,0,4,0%,,4.5,河滨路东100米,,,
495,通海文化广场,0%,0,3,0%,,4.8,田安南路金帝商商厦B栋,,具体收费情况以现场公示为主,
496,蓝桥社区休闲广场,0%,0,0,0%,,--,云鹿路国贸商城3楼,,,
497,泉州惠安月亮湾沙滩,0%,0,0,0%,,--,双阳镇印尼路优特汇商场2楼,,,
498,萱萱儿童游乐园,0%,0,0,0%,,--,安吉路69号中骏世界城广场3层,,,
499,仙夹镇尾池角基督教堂,0%,0,0,0%,,0.0,福建省泉州市惠安县X308(惠崇公路),,,
500,英墩前堡保生大帝宫,0%,0,0,0%,,--,308省道附近,,具体收费情况以现场公示为主,
501,凤山观音寺,0%,0,0,0%,,--,丰海路泉州港务集团后渚分公司附近,,具体收费情况以现场公示为主,
502,永春展览城,0%,0,0,0%,,--,福建省泉州市晋江市泉安中路国贸中心大厦8层809,,,
503,野山谷景区-大龙门森林公园,0%,0,0,0%,,--,福建省泉州市洛江区双阳街道坪山社区阳山路新岭社区,,具体收费情况以现场公示为主,
504,仙溪寺,0%,0,0,0%,,--,泉州市晋江市永嘉路142号,,,
505,天竺庵大道,0%,0,0,0%,,--,安东区萧下村金龙大厦二楼(振东幼儿园旁),,,
506,南海古庙,0%,0,0,0%,,0.0,福田路161号,,,
507,庄氏家庙,0%,0,0,0%,,--,福建省泉州市惠安县东岭镇护海路护海朝圣广场,,具体收费情况以现场公示为主,
508,仙公宫,0%,0,0,0%,,--,福建省泉州市晋江市火炬工业区对面,,,
509,清真路,0%,0,0,0%,,0.0,龙湖龙飞三巷13号,,具体收费情况以现场公示为主,
510,靖安殿康王府,0%,0,0,0%,,4.0,福建省泉州市德化县浔中镇浔东路富东花苑文良购物广场,,,
511,石鼓庙,0%,0,0,0%,,--,华园西路与承志路交叉口东50米,,具体收费情况以现场公示为主,
512,施琅故宅,0%,0,7,0%,,4.9,吉宁街与嘉吉南路交叉口东南150米,,具体收费情况以现场公示为主,
513,丰泽广场,0%,0,0,0%,,0.0,福建省泉州市惠安县螺城镇惠泉南路法治文化广场,,,
514,平山寺,0%,0,0,0%,,--,兴南街67号,,具体收费情况以现场公示为主,
515,新都社区人口文化广场,0%,0,0,0%,,0.0,挖角街与浮桥街交叉口东200米,,,
516,国兴大广场,0%,0,0,0%,,--,福建省泉州市鲤城区甘棠巷17号,,具体收费情况以现场公示为主,
517,安海公园,0%,0,0,0%,,0.0,德泰路49号附近,,具体收费情况以现场公示为主,
518,惠古地,0%,0,0,0%,,0.0,泉州市洛江区侨福街,,具体收费情况以现场公示为主,
519,信诚雕刻艺术博物馆,0%,0,1,0%,,4.5,学府街2号附近,,,
520,登美水尾宫,0%,0,0,0%,,--,丰海路,,具体收费情况以现场公示为主,
521,宝珊花园亲子公园,0%,0,0,0%,,--,下土地寮大道南50米,,具体收费情况以现场公示为主,
522,基督教会崇武堂,0%,0,0,0%,,--,福建省泉州市安溪县衡阳村,,具体收费情况以现场公示为主,
523,净峰惠女湾沙滩,0%,0,0,0%,,0.0,泉州市永春县,,具体收费情况以现场公示为主,
524,儿童主题乐园,0%,0,0,0%,,0.0,福建省泉州市永春县桃城镇环翠村草埔乾,,具体收费情况以现场公示为主,
525,基督教聚宝堂,0%,0,0,0%,,0.0,福建省泉州市洛江区河市镇坛顶村东区89号,,,
526,湖心宫,0%,0,0,0%,,--,福建省泉州市南安市S307,,具体收费情况以现场公示为主,
527,泉州商标馆,0%,0,0,0%,,--,福建省泉州市泉港区山腰街道驿峰中路塔山华林寺,,具体收费情况以现场公示为主,
528,市民广场,0%,0,0,0%,,--,祥云南路东50米,,,
529,广平仓宫,0%,0,0,0%,,4.0,福建省泉州市南安市梅山镇明新村,,,
530,净峰惠女湾海滨森林公园,0%,0,0,0%,,--,福建省泉州市泉港区丰收路8号,,具体收费情况以现场公示为主,
531,后厝美三王府,0%,0,0,0%,,--,福建省泉州市泉港区山腰街道钟厝叶厝村,,具体收费情况以现场公示为主,
532,中新花园,0%,0,3,0%,,,,,,
533,北门观音禅寺,0%,0,0,0%,,0.0,祥云路560-562号附近,,具体收费情况以现场公示为主,
534,盈岭古寺,0%,0,0,0%,,--,福建省泉州市洛江区马甲镇仙公山,,具体收费情况以现场公示为主,
535,法华庵,0%,0,0,0%,,--,福建省泉州市永春县蓬壶镇汤城村113号,,具体收费情况以现场公示为主,
536,红磨坊广场,0%,0,0,0%,,--,福建省泉州市德化县,,具体收费情况以现场公示为主,
537,蓝溪湿地公园,0%,0,0,0%,,--,福建省泉州市永春县锦斗镇丘岩尖附近,,具体收费情况以现场公示为主,
538,天后宫秉正花石花膏田安分店,0%,0,0,0%,,0.0,城厢镇建安大道,,具体收费情况以现场公示为主,
539,乐乐儿童主题乐园,0%,0,0,0%,,--,泉州市安溪县,,具体收费情况以现场公示为主,
540,奇乐儿儿童主题乐园,0%,0,0,0%,,--,南安市眉山乡小眉村社观南88米处,,具体收费情况以现场公示为主,
541,金太阳儿童主题乐园,0%,0,5,0%,,0.0,湖一村湖头大桥附近,,,
542,哈你运动馆,0%,0,0,0%,,0.0,福建省泉州市惠安县,,,
543,真耶稣教会惠安陈林柄教会,0%,0,0,0%,,--,福建省泉州市泉港区晋安郡王(福泉高速公路西),,具体收费情况以现场公示为主,
544,科名基督教会,0%,0,0,0%,,--,福建省泉州市惠安县经的净峰镇净南村前伸,,具体收费情况以现场公示为主,
545,东港渔村沙场,0%,0,0,0%,,--,螺城镇城北工业区水一方游泳馆旁,,具体收费情况以现场公示为主,
546,中加思培,0%,0,0,0%,,0.0,泉州市惠安县黄塘镇虎窟村,,,
547,双阳基督教会,0%,0,0,0%,,0.0,福建省泉州市惠安县净峰镇东洋村西铺,,,
548,公园壹号,0%,0,0,0%,,0.0,泉州市惠安县湖街村后厝,,,
549,三盛·四季公园1期,0%,0,0,0%,,--,福建省泉州市惠安县净峰镇净峰寺旅游景区,,具体收费情况以现场公示为主,
550,激战休闲健身馆（激战真人CS）,0%,0,0,0%,,--,柳美南路与江北大道交叉口北200米,,具体收费情况以现场公示为主,
551,金帝文化广场,0%,0,0,0%,,--,彭美路与新华南路交叉口北100米,,具体收费情况以现场公示为主,
552,护海朝圣广场,0%,0,0,0%,,--,安吉路新华都购物广场1楼,,,
553,长安商用(民发游乐园店),0%,0,2,0%,,4.9,福建省泉州市洛江区万福街泉州丰达工艺有限公司附近,,,
554,世纪广场,0%,0,0,0%,,4.8,泉州市洛江区桥南街391号,,具体收费情况以现场公示为主,
555,龙翔美食健身休闲广场,0%,0,0,0%,,--,福建省泉州市丰泽区清源山风景名胜区见龙台附近,,具体收费情况以现场公示为主,
556,廖承志广场,0%,0,1,0%,,4.8,泉州市鲤城区西街,,具体收费情况以现场公示为主,
557,太古广场-一期,0%,0,0,0%,,0.0,中山北路与北门街交叉口西南150米,,,
558,文化法制广场,0%,0,0,0%,,--,泉州市丰泽区温陵路福华商业中心大洋百货F2,,,
559,永春香都广场,0%,0,1,0%,,5.0,学府路开元街道,,具体收费情况以现场公示为主,
560,瓷都广场,0%,0,0,0%,,0.0,福建省泉州市鲤城区笋江路石笋公园(笋江公园南100米),,,
561,后园休闲广场,0%,0,1,0%,,4.0,源和1916创意产业园19号楼,,具体收费情况以现场公示为主,
562,大罐秀广场,0%,0,0,0%,,0.0,福建省泉州市丰泽区东湖公园,,具体收费情况以现场公示为主,
563,泉州开发区激情广场,0%,0,0,0%,,0.0,福建省泉州市惠安县X308,,,
564,法治文化广场,0%,0,0,0%,,0.0,泉州市鲤城区西街176号泉州开元寺内,,具体收费情况以现场公示为主,
565,爱国主义教育广场,0%,0,0,0%,,--,公界巷与南俊路交叉口西南100米,,,
566,后厝广场,0%,0,0,0%,,3.0,福建省泉州市鲤城区文化宫水门巷口公交站(广益新村东北),,具体收费情况以现场公示为主,
567,健身广场,0%,0,1,0%,,4.0,福建省泉州市鲤城区文化宫濠沟墘广益新村东100米,,具体收费情况以现场公示为主,
568,苏吾文故居,0%,0,3,0%,,4.0,东云路东100米,,具体收费情况以现场公示为主,
569,董坂宫,0%,0,1,0%,,4.0,泉州市丰泽区茂兴路松林(二建)文明安全小区东北侧约90米,,,
570,荔枝公园,0%,0,0,0%,,--,福建省泉州市晋江市海尾江滨南路陈埭镇海美小学东200米,,具体收费情况以现场公示为主,
571,天龙寺,0%,0,0,0%,,--,福建省泉州市晋江市青阳街道崇贤路镇龙圣宫(普贤学校附近),,具体收费情况以现场公示为主,
572,五台禅寺,0%,0,0,0%,,0.0,大乡村大北路48号,,具体收费情况以现场公示为主,
573,南安市后坑埔基督教堂,0%,0,0,0%,,0.0,塘岸街与梅山路交叉口西北50米,,,
574,塔山公园,0%,0,0,0%,,--,厝上村附近,,具体收费情况以现场公示为主,
575,祥云古寺,0%,0,0,0%,,--,福建省泉州市石狮市X325(港口大道),,,
576,明心寺,0%,0,0,0%,,--,福建省泉州市石狮市沿海大通道,,具体收费情况以现场公示为主,
577,真耶稣教会,0%,0,0,0%,,0.0,福建省泉州市晋江市湖中北片135,,具体收费情况以现场公示为主,
578,曾炉寺,0%,0,0,0%,,0.0,洋宅村,,具体收费情况以现场公示为主,
579,三川圣境,0%,0,0,0%,,--,福建省泉州市晋江市X319,,具体收费情况以现场公示为主,
580,凤城索桥,0%,0,0,0%,,--,泉州市晋江市磁灶镇磁灶居委会新街143号,,具体收费情况以现场公示为主,
581,黄良谋墓,0%,0,0,0%,,0.0,泉州市晋江市松熹园90号,,,
582,追源庙,0%,0,1,0%,,4.0,泉州市石狮市西环路59号,,具体收费情况以现场公示为主,
583,龙船邱公园,0%,0,0,0%,,0.0,安海镇成功中路安海公园附近,,具体收费情况以现场公示为主,
584,天马岩,0%,0,0,0%,,--,山前村委会附近,,具体收费情况以现场公示为主,
585,永春丘峰岩,0%,0,0,0%,,0.0,福建省泉州市惠安县净峰镇珍头村X309,,,
586,谢氏尚志祠,0%,0,0,0%,,--,华丰路与莲塘大道交叉口东南150米,,具体收费情况以现场公示为主,
587,宝峰岩,0%,0,0,0%,,--,泉州市石狮市宝盖镇玉浦村6片区,,具体收费情况以现场公示为主,
588,灵祥堂,0%,0,1,0%,,,,,,
589,李光前故居纪念馆,0%,0,0,0%,,--,泉州市晋江市宜富寮内,,具体收费情况以现场公示为主,
590,文贞公园,0%,0,1,0%,,3.0,福建省泉州市南安市S307(东大路),,具体收费情况以现场公示为主,
591,鲤鱼岛灵惠庙,0%,0,3,0%,,4.4,泉州市南安市长兴巷,,,
592,晋安郡王,0%,0,0,0%,,0.0,福建省泉州市石狮市S201,,,
593,西湖姑宫,0%,0,1,0%,,5.0,水头镇东星文创产业园,,具体收费情况以现场公示为主,
594,德济寺,0%,0,0,0%,,--,福建省泉州市晋江市X325,,具体收费情况以现场公示为主,
595,归真堂生物园,0%,0,2,0%,,4.8,泉州市晋江市陈而灶大道,,具体收费情况以现场公示为主,
596,大人宫庙,0%,0,0,0%,,--,运伙村,,具体收费情况以现场公示为主,
597,黄氏宗祠,0%,0,0,0%,,--,泉州市晋江市深沪湾深林寺内,,具体收费情况以现场公示为主,
598,海明亭,0%,0,0,0%,,--,新门街源和19116创意产业园20号楼,,具体收费情况以现场公示为主,
599,三清宝殿,0%,0,3,0%,,4.1,鲤城区中山中路,,具体收费情况以现场公示为主,
600,湖圻宫,0%,0,0,0%,,--,福建省泉州市鲤城区新门街610号源和1916创意产业园36号楼,,具体收费情况以现场公示为主,
601,武灵宫元帅府,0%,0,0,0%,,0.0,中山北路与镇抚司交叉口东北150米,,具体收费情况以现场公示为主,
602,乐乐熊儿童乐园,0%,0,0,0%,,--,新门街源和1916创意产业园区9栋b段,,,
603,红树林文创公园,0%,0,1,0%,,4.0,甲第巷95,,,
604,刘氏家庙,0%,0,0,0%,,--,福建省泉州市丰泽区城东街道桃花山公园,,具体收费情况以现场公示为主,
605,道教圣地,0%,0,0,0%,,0.0,城北路与盛贤路交叉口南100米,,,
606,甘露戒坛,0%,0,1,0%,,4.0,海厝路22号,,具体收费情况以现场公示为主,
607,泉州市人防民防教育馆,0%,0,1,0%,,4.7,泉州市南安市南门街128号,,具体收费情况以现场公示为主,
608,友唱,0%,0,0,0%,,0.0,福建省泉州市南安市X305,,具体收费情况以现场公示为主,
609,泉州开元寺-客堂,0%,0,0,0%,,0.0,福建省泉州市南安市G1502(泉州环城高速),,,
610,一峰寺,0%,0,0,0%,,0.0,福建省泉州市晋江市钱头村南区,,具体收费情况以现场公示为主,
611,古浮桥遗址,0%,0,0,0%,,0.0,河滨北路与益众路交叉口东150米,,具体收费情况以现场公示为主,
612,刺桐里,0%,0,1,0%,,4.5,福建省泉州市晋江市陈埭镇爱乐国际酒店附近,,具体收费情况以现场公示为主,
613,七星拱月,0%,0,0,0%,,--,陈埭镇桂林村桂堂街60号,,具体收费情况以现场公示为主,
614,晴霞古寺,0%,0,0,0%,,--,泉州市石狮市莲西新村3号,,具体收费情况以现场公示为主,
615,道祖塔院,0%,0,0,0%,,--,泉州市晋江市中兴路,,具体收费情况以现场公示为主,
616,SHOWROOM,0%,0,0,0%,,--,福建省泉州市晋江市陈埭镇南宫路南宫古地,,,
617,泉郡水门巷通津里观音宫,0%,0,0,0%,,--,福建省泉州市石狮市蚶江镇毓英路蚶江中心园,,具体收费情况以现场公示为主,
618,辅德庙,0%,0,3,0%,,4.0,福建省泉州市丰泽区通港西街北石文兴宫附近,,,
619,来远驿旧址,0%,0,0,0%,,4.0,泉州市鲤城区新门街350号源和1916创意产业园11号楼,,,
620,英烈侯宫,0%,0,0,0%,,--,福建省泉州市源和堂源和20号楼锐士体育博物馆,,,
621,万神爷公宫,0%,0,0,0%,,0.0,爱国路1号附近,,,
622,海美古地,0%,0,0,0%,,--,丰泽街后坂街丰泽新邨,,具体收费情况以现场公示为主,
623,镇龙圣宫,0%,0,0,0%,,--,福建省泉州市石狮市狮二路,,具体收费情况以现场公示为主,
624,陈紫峯纪念馆,0%,0,0,0%,,--,永和镇(英墩中学旁),,具体收费情况以现场公示为主,
625,孙氏家庙,0%,0,0,0%,,--,子芳路97号,,具体收费情况以现场公示为主,
626,东源休闲公园,0%,0,0,0%,,--,福建省泉州市晋江市经济开发区中华路五里工业区弘坛寺,,具体收费情况以现场公示为主,
627,莲山禅寺,0%,0,0,0%,,0.0,泉州市晋江市后间社区北区69号,,具体收费情况以现场公示为主,
628,石狮鸿山妈祖庙(土地公宫),0%,0,0,0%,,--,小山顶附近,,具体收费情况以现场公示为主,
629,比干纪念堂,0%,0,0,0%,,--,泉州市晋江市宜富寮西宁宫内,,具体收费情况以现场公示为主,
630,玉泉寺,0%,0,2,0%,,4.0,福建省泉州市石狮市永宁镇中骏·黄金海岸黄金海岸渡假村,,,
631,梅洋禅寺,0%,0,0,0%,,0.0,003乡道附近,,,
632,慈安寺,0%,0,1,0%,,3.0,泉州市晋江市深沪湾镇海宫内,,具体收费情况以现场公示为主,
633,磁灶基督教会,0%,0,0,0%,,--,泉州市晋江市镇安宫内,,具体收费情况以现场公示为主,
634,书展公园,0%,0,0,0%,,5.0,福建省泉州市德化县西门街4号,,具体收费情况以现场公示为主,
635,塘园宋代石塔,0%,0,0,0%,,--,福建省泉州市德化县城中路,,具体收费情况以现场公示为主,
636,晋江县革命烈士纪念碑,0%,0,0,0%,,--,福建省泉州市德化县宝美街69号,,具体收费情况以现场公示为主,
637,宫山佛祖庙,0%,0,2,0%,,4.8,凤城镇新景商业广场,,具体收费情况以现场公示为主,
638,宝骖宫,0%,0,0,0%,,0.0,中行安溪支行附近,,具体收费情况以现场公示为主,
639,凤霞宫,0%,0,0,0%,,0.0,前黄镇驿峰中路,,具体收费情况以现场公示为主,
640,真武行宫,0%,0,0,0%,,--,南埔村77号,,具体收费情况以现场公示为主,
641,玉浦寿昌宫,0%,0,0,0%,,--,福建省泉州市南安市镇府街,,具体收费情况以现场公示为主,
642,三源禅寺,0%,0,0,0%,,0.0,福建省泉州市永春县桃城镇湖滨路特色产品展示馆,,具体收费情况以现场公示为主,
643,顺安宫,0%,0,1,0%,,4.5,泉州市南安市洪濑街b4栋108号,,具体收费情况以现场公示为主,
644,基督教洪濑主恩堂,0%,0,1,0%,,5.0,福建省泉州市洛江区马甲镇仙公山风景区东400米,,具体收费情况以现场公示为主,
645,泽龙馆,0%,0,0,0%,,--,福建省泉州市惠安县净峰镇城前村湖莲公路旁,,具体收费情况以现场公示为主,
646,石狮永宁普门禅寺,0%,0,0,0%,,--,福建省泉州市惠安县201省道,,具体收费情况以现场公示为主,
647,南安奢石博览馆,0%,0,0,0%,,0.0,惠安县医院斜对面,,,
648,青莲禅寺,0%,0,0,0%,,--,福建省泉州市安溪县龙居村,,具体收费情况以现场公示为主,
649,聚云庵,0%,0,0,0%,,0.0,泉州市惠安县洛阳镇堂头村,,,
650,崇真殿,0%,0,0,0%,,--,泉州市洛江区万安街道杏宅,,具体收费情况以现场公示为主,
651,郑友尚公园,0%,0,2,0%,,5.0,泉州市丰泽区南台寺内,,具体收费情况以现场公示为主,
652,深林宫剧台,0%,0,0,0%,,--,惠安惠崇路与通港路交会处,,,
653,万国体育博物馆,0%,0,0,0%,,0.0,乐园街与石灵街交叉口东南100米,,,
654,泉州府文庙,0%,0,0,0%,,--,护海路南100米护海妈祖宫附近,,具体收费情况以现场公示为主,
655,中国人民抗美援朝纪念馆,0%,0,0,0%,,--,黎春街,,具体收费情况以现场公示为主,
656,武庙遗址,0%,0,0,0%,,--,杏秀路119号,,具体收费情况以现场公示为主,
657,拙玉馆,0%,0,1,0%,,1.0,福建省泉州市惠安县S201(沿海大通道),,具体收费情况以现场公示为主,
658,洞真胜境,0%,0,0,0%,,--,福建省泉州市丰泽区清源山风景名胜区大佛字,,具体收费情况以现场公示为主,
659,上乘古地,0%,0,1,0%,,4.0,北清东路与307省道交叉口东南100米,,,
660,大桃花山,0%,0,0,0%,,--,福建省泉州市安溪县龙门镇榜寨村,,具体收费情况以现场公示为主,
661,孝友古地,0%,0,1,0%,,4.5,泉州市丰泽区东海街道法石村石头街第四中心小学隔壁,,具体收费情况以现场公示为主,
662,梅里古地,0%,0,0,0%,,0.0,福建省泉州市晋江市古福城隍庙(杨家村大道南130米),,具体收费情况以现场公示为主,
663,武荣慈济宫,0%,0,5,0%,,4.6,泉秀街道田安大桥东南方向,,,
664,南安市东田基督教堂,0%,0,0,0%,,0.0,紫帽山风景名胜区,,具体收费情况以现场公示为主,
665,泉州西华岩寺,0%,0,0,0%,,0.0,福建省泉州市晋江市塘岸街旗牌商业街利泉楼2楼,,具体收费情况以现场公示为主,
666,钱头公园,0%,0,2,0%,,5.0,336县道东150米,,,
667,慈善宫,0%,0,0,0%,,0.0,福建省泉州市晋江市塘岸街孙氏家庙(晋江市委西100米),,具体收费情况以现场公示为主,
668,泽沟街心公园,0%,0,0,0%,,--,福建省泉州市晋江市龙湖镇历山村,,具体收费情况以现场公示为主,
669,龙峰寺,0%,0,0,0%,,--,长林西路2-30号附近,,具体收费情况以现场公示为主,
670,茶亭佛祖,0%,0,0,0%,,--,福建省石狮市鸿山镇东埔三村老人活动中心4楼,,具体收费情况以现场公示为主,
671,七号公园,0%,0,0,0%,,--,泉州市德化县上涌镇九仙山风景区九仙山风景区内,,具体收费情况以现场公示为主,
672,悫实林公家宅,0%,0,0,0%,,--,蚶江山前香山,,具体收费情况以现场公示为主,
673,忠烈庙,0%,0,0,0%,,--,石祥路227号,,具体收费情况以现场公示为主,
674,锦江林氏宗祠,0%,0,0,0%,,--,福建省泉州市石狮市永宁镇梅林村,,具体收费情况以现场公示为主,
675,宋代古船遗址,0%,0,0,0%,,--,永宁镇子英村,,具体收费情况以现场公示为主,
676,一房山,0%,0,0,0%,,--,新街南路与桥西街交叉口南200米,,具体收费情况以现场公示为主,
677,锐士体育博物馆,0%,0,0,0%,,--,福建省泉州市晋江市桥头村大道,,具体收费情况以现场公示为主,
678,泉州市公园管理中心中山公园,0%,0,0,0%,,--,泉州市晋江市古盈村东区1号,,具体收费情况以现场公示为主,
679,东鲁胜境水尾宫,0%,0,0,0%,,1.0,市永宁镇郭坑村,,,
680,法治公园,0%,0,0,0%,,5.0,泉州市石狮市凤里街道五星社区庵前球场附近,,,
681,石狮莲华寺,0%,0,0,0%,,--,新源路与社马路交叉口西150米,,具体收费情况以现场公示为主,
682,基督教英墩堂,0%,0,0,0%,,--,福建省泉州市晋江市恒安路9号,,,
683,石狮市基督教湖滨教会,0%,0,0,0%,,--,泉州市南安市成功南路322号,,具体收费情况以现场公示为主,
684,弘坛寺,0%,0,0,0%,,--,福建省泉州市晋江市S201(沿海大通道),,具体收费情况以现场公示为主,
685,雁山寺,0%,0,0,0%,,--,福建省泉州市南安市溪东中学对面,,具体收费情况以现场公示为主,
686,龙海禅寺,0%,0,0,0%,,--,福建省泉州市晋江市龙江大道(近郑成功屯田遗址),,具体收费情况以现场公示为主,
687,西宁宫戏台,0%,0,0,0%,,--,福建省泉州市晋江市金井镇金深路西宫圣地(毓英中学东),,具体收费情况以现场公示为主,
688,香湖公园,0%,0,0,0%,,--,泉州市晋江市民生路与樱桃路交叉路口往北约90米,,具体收费情况以现场公示为主,
689,玄武殿,0%,0,1,0%,,,,,,
690,石狮杨家大楼,0%,0,0,0%,,--,福建省泉州市晋江市金井镇赤山金门瞭望台月亮湾,,具体收费情况以现场公示为主,
691,财神爷,0%,0,0,0%,,--,福建省泉州市永春县东平镇太山村46号,,具体收费情况以现场公示为主,
692,镇安宫剧台,0%,0,0,0%,,0.0,泉州市永春县桃城路1号,,具体收费情况以现场公示为主,
693,凤池溪滨公园,0%,0,0,0%,,0.0,福建省泉州市永春县s206,,具体收费情况以现场公示为主,
694,邱双炯陶瓷艺术陈列馆,0%,0,0,0%,,--,福建省泉州市永春县美普路,,具体收费情况以现场公示为主,
695,祖龙宫,0%,0,0,0%,,--,埔林巷35号附近,,具体收费情况以现场公示为主,
696,市西境关帝庙,0%,0,4,0%,,4.6,大同路与建安大道交汇处西50米,,具体收费情况以现场公示为主,
697,黄纲墓,0%,0,0,0%,,--,玉民路选佛场附近,,具体收费情况以现场公示为主,
698,塔山华林寺,0%,0,0,0%,,--,福建省泉州市安溪县官桥镇善坛村八选128号,,具体收费情况以现场公示为主,
699,泉州市泉港区驿坂基督教堂,0%,0,2,0%,,4.7,中山街与民主路交叉口南100米,,具体收费情况以现场公示为主,
700,重光寺,0%,0,0,0%,,--,涂岭镇驿坂村324国道边上,,,
701,基督教码头堂,0%,0,0,0%,,0.0,泉州市安溪县解放路142号旁,,具体收费情况以现场公示为主,
702,永春县特色产品展示馆,0%,0,0,0%,,0.0,福建省泉州市惠安县净峰镇湖莲路后楼路口,,,
703,树德寺,0%,0,0,0%,,--,马甲村(马甲中心小学后面),,具体收费情况以现场公示为主,
704,丰山仙洞,0%,0,1,0%,,4.0,泉州市南安市洪新路91号,,,
705,净峰城前革命老区村,0%,0,0,0%,,--,泉州市洛江区304县道附近仙公山风景名胜区内,,具体收费情况以现场公示为主,
706,福音堂,0%,0,0,0%,,--,泉州市安溪县S206,,,
707,三世同卿第明代进士李慎故居,0%,0,0,0%,,--,泉州市洛江区北亭观音苑内,,具体收费情况以现场公示为主,
708,龙居龙显堂,0%,0,0,0%,,--,泉州市惠安县,,具体收费情况以现场公示为主,
709,国学大师辜鸿铭纪念室,0%,0,0,0%,,--,洛阳街与蔡襄路交叉口北50米,,,
710,云盖寺,0%,0,0,0%,,--,福建省泉州市惠安县净峰白鹭湾旅游景区,,具体收费情况以现场公示为主,
711,四王府宫,0%,0,1,0%,,4.7,崇武古城风景区内,,具体收费情况以现场公示为主,
712,地藏殿,0%,0,1,0%,,3.0,福建省泉州市鲤城区四堡街71号,,,
713,学府公园,0%,0,0,0%,,4.5,福建省泉州市鲤城区义全后街74号,,,
714,石灵小游园,0%,0,0,0%,,--,泉州市丰泽区温陵路福华商业中心大洋百货F4,,,
