,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
1332,海坛天神,91,1,1,0%,"马厂街宽不足3米,街巷幽静,民风纯朴。两侧院落以围墙为界,独立成院,院内绿树成荫,形成了一个独有的古香古色的庭院式小区。",0.0,福州市仓山区,全天,免费,
1333,青云山白马峡谷,288,1,1,0%,月洲村位于永泰县西南部大樟溪畔，距县城56.3公里，距嵩口镇区11.21平方公里，距203省道3.3公里。东与梧桐镇白杜村接壤，西与本镇芦洋、东坡、月洲村交界，南与本镇溪口村相连，北邻本镇村洋村。,5.0,<p>全天开放</p>,全天开放,免费,
1334,坛南湾鹅头湾度假村,24,0,32,0%,,4.5,福州市永泰县水帘宫（202省道东120米）,8:00-16:00,35元,32.0
1335,金光湖生态旅游景区,302,1,9,0%,,4.3,福州市晋安区寿山乡寿山村福建寿山国家矿山公园内,08:30-17:00。,90元,
1336,闽江公园,33,2,166,0%,,4.7,福州市晋安区金鸡山路60号,全年 6:30-21:30,具体收费情况以现场公示为主,
1337,兔耳山风景区,57,1,1,0%,“琅山十景，观日为最。”,5.0,福州市琅岐岛芙蓉峰之巅,全天,免费,
1338,连江赶海一号亲子滩涂主题乐园,16,4,164,6%,福州市区面积最大的公园，集文化、娱乐、餐饮、休闲为一体，是放松心情的好去处。,4.4,福州市鼓楼区铜盘路29号,8:30-17:00其中景区内各景点开放时间详见景区现场公示。,入园免费,90.0
1339,白鸽楼,11,1,212,4%,一座具有欧式风格的休闲公园，可以听音乐会，可以欣赏花卉树木。,4.5,福州市鼓楼区温泉公园路8号,全年 5:30-22:00,具体收费情况以现场公示为主,
1340,马厂街,81,3,31,0%,,4.6,福州市鼓楼区白马北路勺园1号文化创意园,全年 全天开放,具体收费情况以现场公示为主,
1341,月洲村,107,2,73,3%,参观宋代诗人陈烈、清代名人严复的故居，感受浓浓的文化气息。,4.6,福州市鼓楼区三坊七巷区域内，在杨桥巷南，南后街的东侧。,全天开放，里面大部分小景点开放时间为8:30-17:00，详情请见景区公示,景区免费进入，内部部分景点需另收费，详情请见景区内公示,
1342,青云山九天瀑布,75,2,31,7%,,4.3,福州市晋安区鼓山路鼓山风景区内，位于涌泉寺之西,全年 10:00-16:00,具体收费情况以现场公示为主,
1343,寿山石古矿洞,110,3,84,2%,,4.5,福州市鼓楼区三坊七巷区域内，在安民巷的西面。,全天开放,免费,
1344,金鸡山公园,111,3,46,1%,,4.5,福州市晋安区杨桥巷,景区本身全天开放，里面大部分的小景点开放时间为8:30-17:00。,如果只是逛逛吃吃小吃，外观下建筑，无需门票。但是里面出名的景点需要购买套票，套票费用120元，包含三坊七巷中二梅书屋、小黄楼、水榭戏台、林聪彝故居、严复故居、王麟故居、谢家祠、刘家大院、郭柏荫故居、鄢家花厅、尤氏民居、刘齐衔故居、周哲文艺术馆等13处景点的联票。也可以单独购买小门票，具体可以查看官网http://www.sfqx.gov.cn/,
1345,白云寺,112,2,47,1%,,4.3,福州市鼓楼区三坊七巷区域内，黄巷以南，西通文儒坊。,景区本身全天开放，里面大部分的小景点开放时间为8:30-17:00。,三坊七巷本身是一个区域，如果你只是逛逛吃吃小吃，外观下建筑，无需门票。但是里面出名的景点需要购买套票，套票费用120元，包含三坊七巷中二梅书屋、小黄楼、水榭戏台、林聪彝故居、严复故居、王麟故居、谢家祠、刘家大院、郭柏荫故居、鄢家花厅、尤氏民居、刘齐衔故居、周哲文艺术馆等13处景点的联票。也可以单独购买小门票，具体可以查看官网http://www.sfqx.gov.cn/,
1346,左海公园,84,2,65,1%,,4.4,福州市鼓楼区三坊七巷区域内吉庇巷,景区本身全天开放，里面大部分的小景点开放时间为8:30-17:00。,四季皆宜,
1347,温泉公园,114,2,68,1%,,4.5,福州市鼓楼区三坊七巷区域内,全天开放,公交：福州市区乘坐117路、159路、121路、11路、66路等车到“南街”站下，步行3分钟可达<br />,
1348,芍园一号文化创意园,116,2,16,5%,,4.0,福州市晋安区鼓山镇鼓山风景名胜区喝水岩,全年 全天开放,具体收费情况以现场公示为主,
1349,郎官巷,79,2,28,0%,,4.5,福州市马尾区江滨东大道139号马尾造船厂内,全天,具体收费情况以现场公示为主,
1350,达摩洞十八景,1,2,48,0%,,4.4,闽江下游航城镇石龙山峭壁之下,全年 全天开放,免费,
1351,文儒坊,76,1,32,0%,,4.4,福州市鼓楼区道山路305号乌山风景区内,全年 7:00-21:30,包含在乌山风景区内，通用于乌山风景区门票。,
1352,杨桥巷,3,3,45,0%,,4.5,福州市荆溪镇仁洲村上洋91号,9:00-17:30 ，17:00停止入场；具体开放时间详见景区现场公示。,20元,
1353,安民巷,9,1,3,0%,,4.4,福州市闽侯县大湖乡境内,全年 全天开放,具体收费情况以现场公示为主,
1354,吉庇巷,126,1,25,0%,古时登鼓山之道，经过“七亭七里路”就可到达涌泉寺山门。,4.3,福州市晋安区鼓山路鼓山风景区内,全年 全天开放,具体收费情况以现场公示为主,
1355,黄巷,127,2,35,0%,,4.4,福州市马尾区昭忠路1号,8:30-12:00，13:30-17:30（16:30停止发票，17:20清场），农历除夕日闭馆一天。,免费但不免票，每天限量参观券不超过500张。,
1356,喝水岩,128,1,33,0%,,4.1,鼓楼区江滨大道,全年 全天开放,具体收费情况以现场公示为主,
1357,马尾造船厂船史纪念馆,7,1,35,0%,,4.7,福州市闽侯县尚干镇歧尾村境内,全年 全天开放,具体收费情况以现场公示为主,
1359,道山亭,6,0,10,0%,,3.8,白云乡白云村3号,全年 6:00-18:00,20元,
1361,雪峰山,130,1,16,0%,,4.4,福州市鼓楼区道山路第一山弄7号,全年 周二-周日 9:00-17:00,具体收费情况以现场公示为主,
1362,登山古径,131,1,1,0%,"中国近代海军博物馆位于福州市经济技术开发区（马尾）昭忠路马限山东麓，于1998年5月对外开馆。该馆为五层建筑，依山而建，建筑面积4100平方米，正面造型如两艘乘风破浪的战舰，是一座颇具现代建筑风格的馆宇。
馆内陈列分为：创建船政、造船育才、…",3.5,福州市经济技术开发区,"7:30-18:30(旺季),8:30-17:30(淡季）","通票60元(含潜水艇参观),普通门票50元",
1363,福州马江海战纪念馆,8,1,5,0%,,4.2,福州市连江县南部闽江入海处,全年 全天开放,,
1364,福州望龙台公园,50,2,14,0%,,3.9,福州市鼓楼区于山顶一号于山上的护国禅院之后,全年 全天开放,,
1365,五虎山,1,3,3,0%,,4.0,福州市罗源县白塔乡七步自然村,全年 全天开放,具体收费情况以现场公示为主,
1367,姬岩风景区,134,1,52,1%,俗称“白塔寺”，为宫殿式建筑，历史悠久。,4.6,安泰街道于山路9号,全年 8:00-17:00,具体收费情况以现场公示为主,
1368,复兴村,135,1,0,0%,,4.0,福州市鼓楼区郎官巷30号,全年 09:00-17:00,50元,
1369,邓拓故居,4,1,15,0%,,4.3,福建省福州市长乐区朝阳中路259号,全年 周二-周日 9:00-16:30;全年 周一 全天不开放,具体收费情况以现场公示为主,
1370,中国近代海军博物馆,7,1,12,0%,,3.0,福州市永泰县塘前乡大樟村,全年 7:30-17:30,具体收费情况以现场公示为主,
1371,壶江岛,68,1,25,0%,,4.1,福州市鼓楼区于山路10号,全年 8:30-17:00,具体收费情况以现场公示为主,
1372,状元峰,137,1,2,0%,在乐清雁荡山灵岩之阳，寺以岩名，四周奇峰嶙峋，古木参天。始建于979年（北宋太平兴国四年），寺有殿宇、禅房百余间，号称“东南首刹”，为雁荡十八古刹之一，名闻京师。宋太宗赐御书经书，真宗赐额“灵岩禅寺”，仁宗赐金字藏经。明清时重建，规…,0.0,福建省福州市,,,
1375,定光寺,141,0,21,0%,,4.6,福州市台江区下杭路与三通路交叉处,全年 全天开放,具体收费情况以现场公示为主,
1376,畲族馆,4,1,17,0%,,4.4,福州市福清市宏路镇石竹山风景区内,全年 全天开放,免费,
1377,福建省冰心文学馆,142,2,34,0%,,4.5,于山顶一号于山风景区内,全年 全天开放,具体收费情况以现场公示为主,
1378,千江月休闲农场,5,1,6,0%,,4.8,福州市闽清县坂东街四,全年 8:00-18:00,具体收费情况以现场公示为主,
1380,灵岩寺,144,1,40,0%,,4.3,安泰街道圣庙路10号,全年 8:30-17:00,免费,
